,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
759,,Eye and of needle.,blue hill fall else ,2120,French of Section ll. and shell layer.,Me. 152/1,Nevin Shellheap,Photo.No.,,0rig.No.2282,25,25_2120.pdf.png
1834,,Not shed.,blue hill falls me ,714,French 10.4 Section of. In shells beneath plow line.,Me. 152/1,Nevin Shellheap,PhotmNo-,,128,3,3_0714.pdf.png
5583,,arrowhead,south wellfleet massachusetts ,15171,,,Land of Est. of G. 5. MacFarland south side of Indian River,,Round in 1925.,,141,141_15171.pdf.png
8386,,mm and tooth two perforations.,hopedale nlabrador ,1355,,,,PhotO-NO-,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,17 7076,17,17_1355.pdf.png
1854,,Late fragment of bayonet point.,blue hill fall lame ,734,French of/Of(stake). 410m. from top of heap in pebbles.,Me. 152/1,Nevin Shellheap,Photo.No.,,249,3,3_0734.pdf.png
4271,,Lip of barbed bone point,iv line her spun west short has to an per re he ,13088,anger 1.,M12/43,Mincher's Point,Photo.No.,Am k)26O) On ted by Or. I.W. Kingsbury Merry He. C. 1950.,85,137,137_13088.pdf.png
8848,,arrowhead,south wellfleet massachusetts ,15320,,,"North Side of Blackfish Cr., East of RR",,Round by John E. Hopkinson in 1929.,,141,141_15320.pdf.png
1719,,Not herds,sell lie ,599,nm on French of.2) Pat on Of. In shells of in mixed shell and pebble.,Me. 152/1,Nevin Shellheap,Photo.No.,,,3,3_0599.pdf.png
1218,,Late scraped.,blue hill he ,2599,human French 19.1 Section 43. Black human and pebFlosa cm. below of.l/Of.,Me. 152/1,Nevin Shellheap,,,one. NUV,25,25_2599.pdf.png
6956,,Fragment. of a large whipped be-rat',,9608,"U"" F'll'1710') of u/",Me. 152/7,Was n T (77 in d,,0 of 3,,120,120_9608.pdf.png
5922,,Utilized chip,ellsworth fall me ,11530,"Of 10"" E of 6 11ne3 28"" N of C line- ZOLl below level of 07711.",,Smith's Farm,Photo.No.,Under alder roots compact clay layer( mottled). Puff.,D6. 23,129,129_11530.pdf.png
444,,3 quart arrowpoints.,me as tend of squibnocket pond martha vineyards mass ,297,Dec. 408 in shell.,M50/1,Hornblower Shell Heap,PhOm-NO-,,,2,2_0297.pdf.png
1160,,But and perforated or notch bird bone.,falls ,2534,Grave 5. 71521613 am field chart. Parallel to north end west side of awl 3121631.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.g383,25,25_2534.pdf.png
5199,,part of arrow head,wellfleet massachusetts ,14567,Top of hill in cow pasture.,,North of Chequesset Inn and Neck Road,,Round in 1916.,816,141,141_14567.pdf.png
1792,,,blue hill oh ll she ,672,French IRL Section of. Pocket of 531911 near,Me. 152/1,,,,,3,3_0672.pdf.png
4074,,the Fragments of bone,alaska highway west of wh if horse lyon territory ,12737,excavated from lowest turf layer stratum 3 south end of trench.,,Can yon no . 1,,F.J. Upon Notes June G 10u8./,22,135,135_12737.pdf.png
5404,,fragment of whipped implements,well flee massachusetts ,14806,High land northeast of southeast end.,,"Herring River Dyke, east end",,Round in 1918.,1013,141,141_14806.pdf.png
8582,,"It of small polished chisel of greenston
4	1	1	1	2	0	669	124	570	44	-1	
5	1	1	1	2	1	669	124	314	44	16	piano-convex
5	1	1	1	2	2	1020	130	219	31	79	x-section
2	1	2	0	0	0	77	214	859	48	-1	
3	1	2	1	0	0	77	214	859	48	-1	
4	1	2	1	1	0	77	214	859	48	-1	
5	1	2	1	1	1	77	218	78	30	89	Act.
5	1	2	1	1	2	172	218	66	30	85	To.
5	1	2	1	1	3	290	220	69	32	82	125
5	1	2	1	1	4	517	217	69	31	83	Site
5	1	2	1	1	5	659	214	101	48	63	Gasp",ellsworth fall maine ,10151,"Of - Topsoil. 52-5"" North x(rum Wash depth 6""",Me. 152/7,Hay Island,,,,125,125_10151.jpg.png
1509,,Broken plumes.,bu eh fall the ,2898,French of Section Of. Shell flecked human and pebbles east side of west boundary.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig-N0-1667,25,25_2898.pdf.png
4028,,Broken scraped,snore directly opposite led port aaelake no ou same u,12666,311 r f a c 6,H35,,Photo.No.,,,134,134_12666.pdf.png
3360,,of Worked fragment or knife'falsity,low les who up long ,8616,"Ran tact mtvzucn 0'an'.'- - ant. street. 6"" into of. Q 11 3/4"" total depth 35"" b-u-low date.",M12/43,".""r'a..k Smith",,,,115,115_8616.pdf.png
3705,,arrowhead,south wellfleet massachusetts ,15027,Of owed gr round.,,North Side of Meadow east of RR station,,by Penn n. Hopkinson in 1921.,12514,141,141_15027.pdf.png
5933,,Lake.,trent om newjersey ,1615,,,,,Exchange with University Museum Philadelphia.,606,20,20_1615.pdf.png
4588,,2 pottery fragments',pick to count lnovascotia ,13565,,,Quarry Islanch Merigomish Harbor,,,,139,139_13565.pdf.png
7098,,Pieces of birchbark prepared for,east bank bolder creek northeast of lane lake upon territory ,12880,,,"Brush Camp A, Yukon Territory",,F.J. Upon Notes.,80 .,135,135_12880.pdf.png
6151,,Broken arrowpoint.,warren mass ,1835,,,,,Rake collection Brookfielm Pass.,69,21,21_1835.pdf.png
6332,,worked vert era.,coast channel islands california ,4093,,,,Photo.No.,Exchange with Southwest Museum Os Angeles'Pal.,,28,28_4093.pdf.png
7555,,W.'h.'/)hw7r444L4k,no with all ,9027,Area 1. sq. 80 from 80. 58 from 90. 6 deep in shell.. below date I.,M13/77,great. Neck - I,,,253,116,116_9027.pdf.png
6303,,Wooden handle for knife.,channel islands california ,4063,,,,,Exchange with Southwest Museum Toe Angeles- Pal.,,28,28_4063.pdf.png
4047,,C h i p 8,ne shore end lake ashuapmuchuan ,12687,Our a c 3,M 50/9,,,,,134,134_12687.pdf.png
2230,,Case of quartette scraped.,northshore of upper chestnut hill reservoir ly east killing am corn ,1029,In yellow sand below base of loam.,M50/1,E.D Prey c7/1,Photo.N0-,,1,4,4_1029.pdf.png
7691,,Projectiles point,dennysville maine ,11720,"15"" F-L 51"" F-go 25"" below surface.",Me. 152/1,Denn rs diver-,,invade of into falsity'2'2 worked'2,-122,130,130_11720.pdf.png
8796,,hammer st one,south wellfleet massachusetts ,15169,,,Garden of G.S. MacFarland on North Side,,And in 1925.,,141,141_15169.pdf.png
5143,,lake,south well flee massachusetts ,14502,,,Pleasant Point,,Round in 1916.,752,141,141_14502.pdf.png
8367,,Not'her word marked'f,hamilton go met g ohio ,6286,Round IIL General Digging.,,Turner Mounds,,Collected by Putnam Met in 1884. Embody Sewn Necks exchange.,34836,34,34_6286.pdf.png
1863,,Arrowhead.,blue hill falls me ,743,Of. In shell below plow line.,Me. 152/1,Nevin Shellheap,,,,3,3_0743.pdf.png
1591,,Enter time.,blue nl fall the ,2980,French 10.2 Section 10E. Must under shell lens about middle of 10.2 line.,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.2983,25,25_2980.pdf.png
3643,,Lakes,about one mile northwest of obedjewan ran iaportage at southern of large island lake mistassini ,11129,Turf ac e,,,,,,126,126_11129.pdf.png
7422,,Trianguloim anymetrig straight,is win mass ,8820,"Area'I Q. 13L. 15"" from th on from him In deep. in brown clay(no shell here). 27"" be or date To",He.152/1,Great Beach Hill,,,95,116,116_8820.pdf.png
955,,Butt of knife.,in ad by blue hill fall she ,2317,Of. Upper part of black human below shell.,Me. 152/1,Nevin Shellheap,thw-Nb-,,,25,25_2317.pdf.png
3341,.,Line Herd'mineral tempered,old trick et jr ou nail andover ,8603,Surface collect ton,M50/1,Old Cricket Jround,Photo.No.,,,115,115_8603.pdf.png
5131,,Piece of French flint,south wellfleet massachusetts ,14486,,,Pleasant Point,I uno.IWo.,Round in 1916.,736,141,141_14486.pdf.png
8333,,3 fragments of skin with beads stuck to them.,near aim nlabrador ,1515,,,Nukasujuktok Island,Photo.N0-,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,177230,17,17_1515.pdf.png
2753,,worked beaverinciaor'lower,paw oh jugs ,8905,Area 1. Q. 16-1 Round in chip has for brown clay below shell.,M13/77,Great Beach Hill,,,510,116,116_8905.pdf.png
6475,,Hodgkin or needle.,richmond ontario no ,1942,,,Be 8d .,Photo.No-,Prehistoric Seneca. Exchange with municipal Museum Rochester'of.,11713,23,23_1942.pdf.png
8287,,Small string of beads some glass.,near aim nlabrador ,1531,,,Nukasujuktok Island,PhotO-NO-,My Exchange with Field Museum Chicago. Collected by Duncan Strong.,177287,17,17_1531.pdf.png
7725,,Pottery,downy ville maine ,11842,"5-1 140"" to H-L Of"" to a-pg fig"" below surge ce.",M 50/9,Denn-xs diver,,,44/2,130,130_11842.pdf.png
5645,,fragments of unfinished whipped(22),north true mass his at to,15277,,,Pilgrim Heights,,round in 1929.,1540,141,141_15277.pdf.png
5251,h,arrow head,well flee massachusetts ,14631,Ku in Outcropping of old surface soil in bank on north shore of Wellfleet May just east of Chequesset Inn cottages.,,East of Chequesett Inn,,Round in 1917-,886,141,141_14631.pdf.png
8569,,Fragrant at large whipped blade,all such th fall brain ,9611,"20"" below Of'19 south of D'h 21 east of D line in plumped bank and possibly from top of an occupational level of calm gravel and fire dirt",M39/7,Wasp Island,,0004 was'11-0 M 7641) 9662y,,120,120_9611.pdf.png
7323,,Even herd mice amend together),is was he an ,8685,"Era I Q. 101) 63"" from 103. b"" from 101). 8"" deep. in brown clay(no whole here). 61"" below date I.",M13/77,Great Beach Hill,,,257,116,116_8685.pdf.png
580,,1 fragment of a bone awl.,eastern of scrub in neck et pond martha vineyards pass ,436,Dec. 807 in shell.,M50/1,Hornblower Shell Heap,Photo.No.,,SA/ss,2,2_0436.pdf.png
4189,,Large shall scraped,,12991,,,"Vicinity of Lowell, Mass",,Sawtelle Collection.,,136,136_12991.pdf.png
1704,,Utilized beaver tooth.,blue hill falls lie ,584,French 10.2 line.'Mention Of. In shell above plow,Me. 152/1,Nevin Shellheap,Photo.No.,,Orig.No.254,3,3_0584.pdf.png
5039,,fragment of whipped implement,wellfleet massachusetts ,14377,High land bordering large meadow.,,West of Mayo's Beach Light,,Round in 1915-,590,141,141_14377.pdf.png
5300,(W,unfinished chimney implements(h),south well flee massachusetts ,14687,,,Pleasant Point,,Round by John E. Hopkinson in 1918.,9b9,141,141_14687.pdf.png
1873,l anti,Plummet.,blue hill falls me ,753,hm Ll Under of.Of(stake). In lower shell - clearing grave 8.,Me. 152/1,Nevin Shellheap,,Bunks,,3,3_0753.pdf.png
7219,,Ma awl,pew oh mass o,8933,"Area. 15 sq. 1511 from 15H. 3 from 15-1. 7"" deem in shell. below date I.",M49/31,Great Beach Hill,,,448,116,116_8933.pdf.png
7216,,Numeriamulaggd 035 ll's/Not d I,ipswich mass ,8966,"Area I. sq. 163 62'from 17.1. 72"" from 17K. k"" deep. at base of shell. below date 1.",He.152/1,Great Beach Hill,Photo.No.,,340,116,116_8966.pdf.png
7263,of,arrow head,wellfleet massachusetts ,14399,Dug from shell layer at top of large bank on east shore of Wellfleet May.,,Between Town Cove and Indian Neck,,Round in 1915.,,141,141_14399.pdf.png
139,,Arrow point,mass ,7423,Round on surface e.,M39/7,Grassy Island,,Collected by 3.13. Delabarre.,1860,103,103_7423.pdf.png
2479,,Arrow point.,andover mass ,7006,Round July 24'1895.,M12/43,,,Lift of Arthur 1.1. Hofmanm Ballardvalm Pass.,21,83,83_7006.pdf.png
4441,6/16/51.,Lip of projectiles -joint,side of toll bridge shore of bar her br perry me ,13308,Unknown,Me. 152/7,Toll Bridge,Photo.No.,Lift of Or. I(ve. Kingsbury0 Merry He.,,137,137_13308.pdf.png
8676,,unrlnllnea arrowhead,south vol fleet mass hue et ,14888,,,J. P. Brown's asparagus farm on shore of Indian River,,Round by John E. Hopkinlon in 1919.,No. 1109,141,141_14888.pdf.png
3442,,Tattered pebble,ellsworth fallen maine ,9899,Of - Red layer. 270 North of 4 line 360 Last of E line depth 370 below Of,M39/7,Wasp Island,Photo.No.,0 of. 2 Z,,125,125_9899.jpg.png
3660,,Scraped,ellsworth me ,10414,"29"" N by 15"" E of 093 18"" below 09 1- 18.",Me. 152/7,Smith's Farm,,In grass roots. f'a mamma Via,119.3,129,129_10414.pdf.png
5813,,Arrowpoint.,mi below charles tom kanawha value my ll a,1221,,,"Grave Mounds, Smith's Farm",Photo.No.,Exchange with U.8. National Museum. Collected by of. Long'13.5.3.,113570,16,16_1221.pdf.png
196,,the Fragment of point.,ballardvale mass ,7520,"3"" deep in brown 13"" from A Of 47"" from A. Section A. Red sandstone basilic lava.",M13/77,Stickney Site,,,19,106,106_7520.pdf.png
2544,,Broken arrow point.,andover mass ,7297,"Directly under so in black earth. 3"" deep-",M12/43,Piggery,,Lift of Arthur M. Hofmann Ballardvalm Pass.,326,92,92_7297.pdf.png
2358,,Broken knife.,andover bias s,6885,Dear large bolder with potsherds. 7/31/40.,M12/43,Piggery,,Lift of Arthur 2.1. Hofmanm Ballardvalm Pass.,284,83,83_6885.pdf.png
3772,,Pottery,turn name iii or ill corn factory ffryeburg center maine ,11925,"but in d 9 -1 5"".",Me. 152/7,Com Factory,PhotO-NO-,W. Word Collection.,0rig.No.-11,131,131_11925.pdf.png
6578,,Ianneolatm Corners Removed. Joint,andover made ,9506,,M12/43,Miller Farm Site,,From Or. Will's collection,,119,119_9506.pdf.png
7040,,Hemmqrstone,est sd ,12845,deposited layer Limb River sit.,,,,T'- r.J. Upon Notes.,111 .,135,135_12845.pdf.png
5060,,fragment of whipped implement,wellfleet massachusetts ,14404,Dug from shell layer at top of large sand bank on east shore of Wellfleet May.,,Between Town Cove and Indian Neck,,Round in 1915.,628,141,141_14404.pdf.png
587,,Whipped shell.,why eastern of suit no met pond martha vineyards flags ,443,Dec. 63 in shell.,M50/1,Hornblower Shell Heap,PhotO-NO-,,3/57,2,2_0443.pdf.png
705,mend,It of felt.,blue hill fall sue ,2065,Of. In bottom of plowed shells'central part of southern boundary.,Me. 152/1,Nevin Shellheap,,long u,,25,25_2065.pdf.png
2190,,Arrowpoint.,blue hill maine ,5492,French 18. Section 711. Under pebble deposit in north central part of section in large broken shell and human,Me. 152/7,Richard's Shellheap,Photo.No.,,Oriz.No.ns44,32,32_5492.pdf.png
6663,,unfinished stone felt or adve,pick to county novascotia ,13612,,,Quarry Islanm Meriaomish Harbor,PhOto-NO-,,1235,139,139_13612.pdf.png
3310,,Quart lake,ellsworth fall imagine ,9827,EAI - In hard packed clay beneath B how'from(reddish area) seems to come frog a disturbed area. anti 43 26 North 0 stake 01(01 is vein North of 00 13'in from 02) 10'45H,M39/7,Wasp Island,Photo.No.,,EAI .481,125,125_9827.jpg.png
4785,,arrow'head,well lee tu massachusetts ,14040,,,Near water tank on hill in rear,,Round in 1913.,20 3,141,141_14040.pdf.png
4211,0,Fragments of whetstone,,13013,,,"Vicinity of Lowell, Mass",,Sawtelle Molle action.,,136,136_13013.pdf.png
2394,,Pebble.,andover mass ,6921,Round September 29 1939.,M12/43,Piggery,,Lift of Arthur M. Hofmanm Eallardvalm Pass.,260,83,83_6921.pdf.png
8919,,Small bone beaming tool.,coast do channel islands california ,4099,,,,Photo.No-,Exchange th Southwest Museum. Toe Angeles. cal.,,28,28_4099.pdf.png
4322,,Butt Of knife,inches sum westshore mast bay perry me ,13159,L a ye r 5.,M12/43,Mincher's Point,Photo.No.,Runmk3(525) Located by Or. I.W. Kingsbury Merry He.,0rig.No.157,137,137_13159.pdf.png
4733,,fragment of whipped implement,wellfleet massachusetts ,13964,,,"Wellfleet, MA",,Count in 1912.,,141,141_13964.pdf.png
4942,,arrow head,well lee to massachusetts ,14256,High land bordering southwestern part of large meadow.,,North of Mayo's Beach Light,,Round in 19111-,141414,141,141_14256.pdf.png
745,,'Piece of worked bone.,blue hill fallen me ,2106,French of.ll Section of. E. oral 210m. below of.1/Of in second shell.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2106.pdf.png
5264,,fragments of whipped implements,wellfleet massachusetts ,14648,Will north of end of Hearing River Like.,,Griffin Island,,Round in 1917.,903,141,141_14648.pdf.png
2739,,Want. why pipe. inches,ipswich in ,8664,"new I. Q. 61 55"" from 61. 39"" from 71'5"" see p. in shell. 1"" below top of shell. 22""",He.152/1,Great. NOCR I,Photo.No.,"Same level and 5"" from rim hard 129",131,116,116_8664.pdf.png
383,,Rude he.,eastern of squibnocket pond martha spine arm mass ,235,Dec. 208 in quahog shell.,M50/1,Hornblower Shell Heap,Photo-No.,Remnh Some of edge crumbled off when Specimen was taken out.,0rig.No.S/110,2,2_0235.pdf.png
1044,,Joint of Spear head.,blue hill walls lie i,2415,French G Section of. In upper shell.,Me. 152/1,Nevin Shellheap,PhotO-Noo,,Orig.No-1834,25,25_2415.pdf.png
5097,,part of arrow head,well flee xvi as safe use its,14447,Dug from shell layer at top of large sand bank on east shore of WellfleemBay.,,Between Indian Neck and Duck Creek,,Founndin 1916.,,141,141_14447.pdf.png
6456,,Drag. knife,one mile upstream on tete his c east bank ,11203,Surface,,,PhOtO-NO-,,,126,126_11203.pdf.png
2646,.,of Corner-removed point quart,il or tlzsnow pomp upon more ,8337,"SimtimTfst S'utah-J of ext. Am 3'55'sq of of-L 6'75"" of 71-3 12"" am of C30"" Total at.. 43"" grow U ve",M12/43,Jixils' Suoqp 3a...9,,'7'To a f-)we/D/g M ll w/ or - ff,,110,110_8337.pdf.png
1224,,Worked falsity.,blue hill des ,2605,Aren ch of. 9. k Section 43. In to of last shell later.,Me. 152/1,Nevin Shellheap,,,2085,25,25_2605.pdf.png
1557,,Broken plumes.,fall she ,2946,French 10.3 Section 10E. Dear 10.2/IOE stake'almost on the'in sums and rocks.,Me. 152/1,Nevin Shellheap,Photo.No.,,3993,25,25_2946.pdf.png
3916,,Scraped,mouth of waswanipi given shore at entrance to law gland ,12553,Our a C 3,,,Photo.No.,,Orig.No.,134,134_12553.pdf.png
4541,,Pottery,boa be cab ,13446,2 Am. come in crushed shell under 1311an dirt c gravel.,M50/1,Phil ' 3 Beach,,,47,137,137_13446.pdf.png
7959,to-American Antiquity Vol. XIV Plato of,Side scraped,bay south of git no ,9454,,,,Photo.No.,Collected by Sunday H- 30893,,118,118_9454.pdf.png
4266,,Him shed - shell tempered,inches sat westshore east bay perry me ,13083,SkmnhnTest Of top of bottom fire dirty 26HSS N-l-W-i.,Me. 152/7,Mincher's Point,,,80,137,137_13083.pdf.png
330,,2 noticed singers.,eastern of squibnocket pond martha vineyards mass ,181,Dec. Of above plow line.,M50/1,Hornblower Shell Heap,Photo.No.,,,2,2_0181.pdf.png
3695,that,fragment of whipped implement,hell fleet massachusetts ,14063,,,Cart Path in Field near Chequesset Inn,,Round in 1913.,,141,141_14063.pdf.png
5200,,part of arrow head,wellfleet massachusetts ,14568,Dog of hill in cow pasture.,,North of Chequesset Inn and Neck Road,,Round in 1916.,820,141,141_14568.pdf.png
3504,,Potsherd,ellsworth fall maine ,9931,"Of - Upper occupation area. 355"" North of FEB 31"" Wash depth 3-5"" below Of 05.64..D-In-(Dy of. va') no King Peri xi-4'5"". mug.. ltd/(L/of-in..iw41",Me. 152/7,Wasp Island,Photo.No.,'W'my('''MLVM 62W 7125.77469/923 7957. firccfl effigy,,125,125_9931.jpg.png
4,,But angler.,squibnocket re am southwest side of martha vineyards mass ,62,Round in scrap.,M50/1,Squibnocket Cliff Shellheap,Photo.No.,,80/68,1,1_0062.pdf.png
2016,,Fragment of needle.,blue hill fallen he ,897,,Me. 152/1,Nevin Shellheap,,Taken from scrap.,,3,3_0897.pdf.png
3777,,Allow gouge,ut si held come lake tie op son lie ,11930,but a c e,Me. 158/7,"Otisfield, Maine",,Hard Collection.,-5,131,131_11930.pdf.png
7129,,Charcoal,was kari laws west of vif te horse upon territory ,12803,LIZCBVEtEG from hearth. in ing layer above coarse grey sand.,,Champpcne no. 3,,I-.J. and APIM Upon Notes. Went to In'y'2 L,6/5 .,135,135_12803.pdf.png
6,,fierce fish vertebra.,squibnocket beam southwest side of martha vineyards mass ,60,Round in looking over scrap.,M50/1,Squibnocket Cliff Shellheap,Photo.N0-,,SC/64,1,1_0060.pdf.png
794,,Not sheds.,blue hill falls me ,2156,French 18 Section of. In the Of shell and pebbles.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,,25,25_2156.pdf.png
8773,,spearhead,south mr massachusetts ,15122,,,sw side of small pond E of R. R. crossing i-mile MI of 11.11. station.,,Round 111 1925',,141,141_15122.pdf.png
3444,,All of tempered united porter's clay,ellsworth far maine ,9900,Of - Refuse pity A horizon brown fill. North 644 x Last 54 depth 274,,Wasp Island,,06C Of'f,,125,125_9900.jpg.png
6197,,War whip.,ross for ll idaho ,1881,,,Indian Reservatiom Shoshone,,Rake collection Brookfielm Pass. War whip of Chief Jump.,106,21,21_1881.pdf.png
1161,,Perforated nine tooth peasant.,do day blue hill falls he,2535,Skmnhn Or ve 9. 235 on field chart. between femur on may of child's skeleton.,Me. 152/1,nvih ShelT Hopr.,,,,25,25_2535.pdf.png
4305,,the Trading stone,by mine her saw cut shore mast bay perry me ,13136,A ye r. 5.,Me. 152/7,Mincher's Point,Phan.Nb.,Ranmk8(573) Located by Or.I. W.Kinosbury Merry He. etc. 1950.,135,137,137_13136.pdf.png
8950,,Round-stone point small.,mi of jack lanes bank labrador ,1297,,,Windy Tickle Island,Photo.N0-,Exchange with Field Museum'Chicago. Collected by Duncan Strong.,,17,17_1297.pdf.png
302,,crude quart implement.,east and of squibnocket pond martha vineyards mass ,152,Simitim Dec. 13 below plow line.,M50/1,Hornblower Shell Heap,Photo.No.,with Round in scrap.,SA/SS,2,2_0152.pdf.png
3448,,Pocket-stamped potsherd,ellsworth fall maine ,9902,"Of - Grass roots. North 33"" x West 30'3 depth 25""",M39/7,Wasp Island,Photo.No.,any I 6PM camp feu-(of u/of) F175 o4erslzerv75(fr/M) Of 94799) Oz 79/0,,125,125_9902.jpg.png
7352,Y,Eighteen shares. decorated,ipswich mass ,8708,great Q. 1011 From top of pit. in this square. 1,M13/77,Great. Neck - I,,3',496,116,116_8708.pdf.png
6505,,Drilled animal tooth.,richmond ontario copy ,1945,,,Reed.,Photo.No.,Prehietorio Seneca. Exchange with Municipal Museum. Rochester'N.Y.,11731,23,23_1945.pdf.png
4263,,Not sheds,in un by mac her sat westshore east day perry me ,13080,Skumkaest 1 In E of N-l-E-1 16 38 in crushed shell(third shell)/,Me. 152/7,Mincher's Point,thD.NoL,,0rig.No.77,137,137_13080.pdf.png
2829,"5	1	7	1	2	2	245	987	5	6	90	.
5	1	7	1	2	3	312	988	21	6	67	-
5	1	7	1	2	4	609	997	3	3	94	.
5	1	7	1	2	5	758	990	31	25	69	J
5	1	7	1	2	6	812	1004	20	6	89	..
5	1	7	1	2	7	847	995	16	16	59	M-
5	1	7	1	2	8	937	1002	27	16	50	..-
5	1	7	1	2	9	980	1000	50	21	53	peu
5	1	7	1	2	10	1048	1002	22	15	64	n
5	1	7	1	2	11	1113	1007	47	15	54	r..L -A'4--L/in'-3'",Lots herds,ellsworth falls maine ,9649,"16'. b'33 of Of. oh"" north Of 5 15519. 6"" west of 5 line in hearth corn'l ex'ff'5.-'2-.'r",M49/31,Hall's Island,Photo.No.,'ff'5.-'2-.'r You-u/J. un'f. 5'Anoci'f'll/ff'g(lo'n'ff l'r/ J). 0 Fifty ere'off-ff au-cf/m a By.'bu.4 arm) 4.4. foka m- am 49-.-( Seems ft) Mac in burr/muff.,05-7,120,120_9649.pdf.png
2314,,Ended knife.,andover mass ,6841,L 2 feet from 210. Excavated 9/31/39.,M12/43,Piggery,,Lift of Arthur M. Hofmamm Ballardvalm Pass.,210,83,83_6841.pdf.png
3543,,fragment of whipped implement,well flee cut massachusetts ,14413,Dug from shell layer at top of large sand bank on east shore of Wellfleet May.,,Between Town Cove and Indian Neck,,Round in 1915-,637,141,141_14413.pdf.png
3658,,rhine piece of arrow head,lo only wellfleet massachusetts ,14528,Shell layer in bank on north shore of Wellfleet bay between Chequesset Inn and Inn cottages.,,Chequesset Inn,,Round in 1916.,,141,141_14528.pdf.png
7458,''0 M,Decorated herd,ipswich lull ,8681,"Area. 1. Q. 71. found on top of shell when remove about. 3"" deep.",M13/77,Great. Neck - I,,from 93...fo VcSF-s as 1115/8680,,116,116_8681.pdf.png
3617,,2 rim shares - one with thickened rim',ellsworth falls maine ,9993,"Of - Fellow-gray sit. 10"" North x 7"" West 22"" deep",,Wasp Island,,was Am my vessel in Of- iso/by/9 M/my Lowered) roe Her- collar) 81-0.,,125,125_9993.jpg.png
1188,,Noised bone dagger.,else hill pills lie ,2569,5. Burial of. 256 on field chart.,Me. 152/1,Nevin Shellheap,Photo.No.,,Oriu-NO-BSSO,25,25_2569.pdf.png
7169,,Ships,in un by bout new st side lane lake upon ferri for v,12841,"S 1.11"" f. 8 He.",,unristmas Qreek no. 5,thn.Nm,I.J. Upon Notes.,107,135,135_12841.pdf.png
2580,,Polished fragment of Whipped delete,of who nl ,8455,"541431 Ll feu qu 1- a a A f N- 4 1 X.. of-"" q J - U r'g n'an - L J i 474'7 1 oh'll.''3.in of J'n Of of",,"911.1"" Jig",PMMDJNm,,,113,113_8455.pdf.png
6974,',hagnnnt of whipped blade,ellsworth fall lane ,9566,21-3/h'below Of 6 ask north of 1 limb 6 west of B line in burned area in which 31-3 lay 00-6 J I fowl But slur 756579557'4/j'157-7g47,M39/7,Wasp Island,,,81-13,120,120_9566.pdf.png
6350,,8 potsherds.,lost horse valley calico ma ,4112,,,,Photo.No.,Exchange with Southwest Museum Boa Angeles'Pal.,,28,28_4112.pdf.png
8493,,Arrow point.,andover has s,7027,Round Kept. 11 1900.,M12/43,,,Lift of Arthur of. Hofmanm Pallardvalm Pass.,37,83,83_7027.pdf.png
6965,,Fotsherd,el worth may ne ,9642,"725"" below 365 10"" west of D 11515 1.0.3"" south of 6 une in'or small hurnwci arm",M39/7,Wasp Island,,-.-'C'.l 4..-'..'go- Rule('.l'-'-- i'I 5 f,0rig.No. D24.,120,120_9642.pdf.png
610,,Pottery.,east and of squibnocket pond martha vineyards mass ,466,Dec. 208 in system shell.,M50/1,Hornblower Shell Heap,,,,2,2_0466.pdf.png
6866,,pottery fragments(6),pick to count lnovascotia ,13574,,,Quarry Island  Meriaomish Harbor,Photo.No.,,977,139,139_13574.pdf.png
5914,sonya- Am 404',Cradle.,un red or did ,1602,,,California Indicam possibly Maidu.,PhotO-NO-,Lift of Mrs. Gertrude H. Hills'NorwelL Pass.,,18,18_1602.pdf.png
5505,,fragment of lpearhead,north true mass his at to,14994,,,Farm of Warren Small. High Read (Pilgrim Heights),,by John E. Atkinson. in 1921.,1219,141,141_14994.pdf.png
4078,,Touched lake,me he alaska highway west of whitehorse upon territory ,12751,Our'a c e.,,"Champaign Co., Ohio",,F.J. Upon Notes June 18 19h8.,,135,135_12751.pdf.png
6282,,Soapstone coal.,channel islands california ,4041,,,,Photo.No.,Exchange with Southwest Museum Toe Angeles'Pal.,,28,28_4041.pdf.png
7296,,Turn ted the,ipswich hall ,8748,"Org I Q. Of 45"" from Of. 2 
5	1	6	1	1	6	571	759	116	39	78	from
5	1	6	1	1	7	718	758	79	52	63	611.
5	1	6	1	1	8	838	761	53	41	87	6 deep. in brown clay(no she 95313216 24"" below",He.152/1,Great Beach Hill,,"clay(no she 24"" below drum I.",67,116,116_8748.pdf.png
7976,,,point western side of bay leading into temiscamie river ,9473,,,,PhotO-NO-,Collected by Edward Rogers,,118,118_9473.pdf.png
92,,Ship,mass ,7363,Excavated from ancient surface.,M39/7,Grassy Island,,Collected by E.B. Delabarre.,1265,103,103_7363.pdf.png
