,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
7374,,Lip of drill. route,ipswich mass ,8802,Area the'fig I. B. Q. 15L - 136A - un from 1 deep at base or shell 2 Z oh from leo- date Q. 12J men from 125 he from 13J shell,M13/77,Great Beach Hill,,8 deep olga be Q. from 13J in brown clay'li below base or shell of date I.,136,116,116_8802.pdf.png
3960,,Potsherd,miles of site la soda ,12598,Surface,,,Photo.No.,,,134,134_12598.pdf.png
4498,,trading stone 1),waiting bah ends me ,13380,m sca vat e d.,Me. 152/7,Anthony Beach,,587. located by Or. I.W. Kingsburm ferry He. excavated by John Knapton.,1,137,137_13380.pdf.png
728,,Hammer stone.,pin j ,2088,177.11 TAQh'LCV'of. In 1519.01- human.,Me. 152/1,'(3.v5 TE 10.11.51 1 H'AQT' .,,,Orig.No.1non,25,25_2088.pdf.png
796,,Not herds.,blue hill fall me ,2158,French of'Section ll. and shell layer.,Me. 152/1,Nevin Shellheap,Photo-No-,,,25,25_2158.pdf.png
4029,,C'lips,you no yes no re directly opposite led up or take lake ni to ugh may ,12667,S or f a c 6,H35,,Phan.Nb.,,,134,134_12667.pdf.png
1624,,Side whipped knife.,blue hill sang me ,504,French of.1'Section Of. Upper part of shell layer.,Me. 152/1,Nevin Shellheap,,,Otig.No.34,3,3_0504.pdf.png
1048,,Unfinished plumes.,blue his falls lie ,2419,French of.1 Section of. Shell flecked human and pebbles approximately 600m. below of.1/Of.,Me. 152/1,Nevin Shellheap,,,Oriz-No-1742,25,25_2419.pdf.png
7436,I,worked fragment. Of,enwich in ulm ,9073,"nos 1. sq. 9 L from Of. 45"" from Of'of'deep. in shell. below date I.",M13/77,Great. Neck - I,Photo.No.,,,116,116_9073.pdf.png
3966,,Hammerstone,miles an of site law soda ,12604,Our a c 9,,,Photo.No.,,0rig.No.,134,134_12604.pdf.png
4631,,fragment of shoulder of decorated pipe,no cat balaga two since co on t,13743,5x08 va t ion 14.,,Sidey-Mackay,,,20589171,139,139_13743.pdf.png
7038,,touched lake,astwide of lane lake qyukon territory ,12863,Serfs c'e.,,Gladstone Jluff,,F.J. Upon Notes.,,135,135_12863.pdf.png
5099,I gun,part of knife,wellfleet mass his eats ,14449,Ku on Dug from shell layer at top of large sand bank on east shore of Wellfleet May.,,Between Indian Neck and Duck Creek,,Round in 1916.,,141,141_14449.pdf.png
3274,,Potsherds,ellsworth fell maine ,9807,EBSl - Below black tonsil in iron-flecked grey member. 155 North long Last 255n deep. Horizontal measure- from EASl. Depths from 0.,M39/7,Wasp Island,Photo.No.,Depth influenced by bank being undercut and sleeping. Up u(f 4.,EBSl . 1,125,125_9807.jpg.png
5584,,knit fe,south wellfleet massachusetts ,15172,,,Land of Est. of G. S. MacFarland south side of Indian River,,in 19250,,141,141_15172.pdf.png
8355,Collected by Duncan Strong.,,is old across channel from hoped all ,1379,,,,,Exchange with Field Museum Chicago.,,17,17_1379.pdf.png
8143,,Scraped,days we th of site ,9450,,,,Photo.No.,,,118,118_9450.pdf.png
187,,Utilized lake.,ballardvale mass ,7511,J.,M13/77,Stickney Site,,,7,106,106_7511.pdf.png
6360,,Fragmentary obsidian artifice.,southern oregon ,4126,,,,,Purchased from Major 0.8. MoClearL Cortlandt. Oregon by I.K. Forehead.,,30,30_4126.pdf.png
3150,,Shell beads,hamilton county ohio ,6301,,,Turner Mounds,,Embody Museum Necks exchange.,0.,34,34_6301.pdf.png
7547,,Knife'quart,enwich h,8810,"Area 1'Q. Of 31"" from 611. 51"" from 71-1. 6"" deep'in held 28"" below date I.",M13/77,Great Beach Hill,,,208,116,116_8810.pdf.png
5283,,Worked stone,wellfleet massachusetts ,14670,Each west of Chequesset Inn near bridge over meadow,,Rear of Chequesset Inn,,Round in 1917,925,141,141_14670.pdf.png
995,,Used angler time.,lie ,2360,French 10 89011311 of. In ghppg above plow line on Of line anna A/or've 5.1.4.,Me. 152/1,Nevin 331911. Hanp .,,,,25,25_2360.pdf.png
3187,,Fragment of slate point,ellsworth fallen maine ,10216,Dec. 0511 - Dark brown occupation level. in N of A510 180 E. Depth 410,,Wasp Island,Photo.No.,thumbnai l s i z e,,125,125_10216.jpg.png
7435,"L I/ l( 4""",of R111 gum. myth and rocket decorated vessel mineral temper and,ipswich man ,8741,"Area 1. Q. All 74"" from 1111. 38"" from am. of deoppln shell'mbehw date I.",Me. 152/1,wrent. Neck - I,,date I. k'Dec other side 219 care for prQVcnlgnce org r this Began 1.,,116,116_8741.pdf.png
3655,,part of arrow head,south well flee cut massachusetts ,14494,,,Pleasant Point,,Round in 1916.,7th,141,141_14494.pdf.png
6304,,Small hammer one.,coast california ,4064,,,,,Exchange with Southwest Museum'Os Angeles'Pal.,,28,28_4064.pdf.png
4027,,Worked quartette,shore directly opposite led portages lake ni your may ,12665,Our a ce,H35,,Photo.No.,,,134,134_12665.pdf.png
2457,I,Arrow point.,andover has ,6984,Round July 10'1895.,M12/43,,,Lift of Arthur M. Hofmeznm Ballardvalm Pass.,19,83,83_6984.pdf.png
1716,,Not shares.,blue hill fallen he ,596,French IDgl'Section 413. Earth 4.,Me. 152/1,Nevin Shellheap,Photo.No.,,Oriz-NO-145,3,3_0596.pdf.png
4671,,Pottery fragment,new syria florida ,13864,Shell mounds on west shore of North Indian River approve- lately 71 miles north of New Smyrna.,,North Shore of Indian River,,Round in 1913.,166,141,141_13864.pdf.png
537,,of One awl.,deny eastern of squibnocket pond martha vineyards mass ,392,It 10 C.,M50/1,Hornblower Shell Heap,,,,2,2_0392.pdf.png
5588,,unfit shed arrowhead,south wellfleet massachusetts ,15178,,,Land of Est. of G. S. Machrland south side of Indian River,,Round in 197.5.,,141,141_15178.pdf.png
