Abbe Museum
"Esty, Roy"
"Everett, Edward"
"Eyerly, Esq., J."
"Fairbanks, Charles"
"Fan, Ada"
"Farber, Mr."
"Farson, N."
"Fenton, W"
"Fewkes, Dr."
Field Columbian Museum
Field Museum
"Field, Sarah"
"Fitzhugh, William"
"Flanders, Robert"
"Flint, Charles"
Florida State Museum
"Flournay, John"
"Flournay, Mrs. John"
"Flynn, Kathleen"
Foote
"Foss, Caroline"
"Foster, William"
"Fowke, G"
"Fowler, Mary & Charles"
"Fowler, Ted"
"Fowler, Walter"
"Franklin, Esq., C."
"Fraser, E."
"Freeman, Anna"
"Freeman, Frank"
"Freeman, James"
"Fuentes, Zeny"
"Fuller, Eber"
"Fuller, George"
"Gachupin, Marcella"
"Gage, Ernest"
"Gage, George"
"Galinat, Walton"
"Gallagher, David"
"Gamble, G.S."
"Gamble, Luther"
"Gardine, Bud"
"Gardner, John"
"Gardner, Peabody"
"Gasser, Bob"
"Geer, Charles"
"Germain, Sara and Edward"
"Gerry, Lyman"
"Gesner, Rev. A"
"Gibbons, Michael"
Gila Pueblo
Gila River Indian Community Council
"Gilham, F."
"Gillham, Nicholas"
"Gillham, Robert"
"Gillum, Greg"
"Gladwin, H"
"Glazier, Florence"
"Gleason, L"
"Gledhill, William"
"Gloade, Tom"
"Goad, E."
"Goldsmith, W"
"Gomalapa, Feliciano"
"Goodell, C."
"Goodhue, Ira"
"Goodnow, H."
"Googoo, Annie Clare"
"Googoo, Hughie"
"Googoo, Isabel"
"Googoo, Joe"
"Googoo, Mrs. Peter"
"Gorden, John"
"Gordon, Mr. John"
"Gorham, B. F."
"Gorham, Ralf"
"Goss, Sam"
"Gould, Captain Francis"
"Gould, Charles"
"Gould, Henriette"
"Gould, Mary"
"Gould, Mrs. Simon"
"Gould, Noel"
"Grabosch, M."
"Graham, Clyde and George"
"Graham, J"
"Gray, Henry"
"Gray, Jas."
"Gray, S"
"Green, Edward"
"Green, Ira"
"Green, William"
"Greene, Chuck"
"Greenly, Mark"
"Griffin, Barbara"
"Griffin, Henry"
"Griffin, James"
"Griffing, W."
"Grimes, J"
"Grindle, Roy"
"Grinnell, George"
"Ground, H."
"Grove, Frank"
"Grover, Ed."
"Grubb, Reverend F."
"Guernsey, Samuel"
"Guillemette /Onkwe Tase, Edward"
"Guthe, Carl"
"Haack, Peter"
"Hadlock, Wendell"
"Hale, George"
"Hall, Mollie"
"Halle, C."
"Hallett, L."
"Hally, David"
"Hamann, Mrs. Edmund"
"Hamilton, H."
"Hamilton, Nathan"
"Hamlin, Augustus"
"Hammett, F."
"Hampson, J. K."
"Haney, A."
"Hanna, R."
"Hanser, Otto"
"Hardy, Elridge"
"Harp, Elmer"
"Harrigam, Richard"
"Harrigan, Margaret"
"Harris, C."
"Harris, H"
"Harris, Louis"
"Harrison, B."
Hartwell
"Hartwell, F"
Haskell
"Hatch, J."
"Haury, Emil"
"Hauser, Otto"
Haverhill Historical Society
Haverhill Newspaper
"Hayward, Carlton"
"Heatwole, C"
"Hefforen, George"
"Henderson, Eugene"
"Henderson, Robert"
"Henry, John"
"Henry, Molly"
"Herrick, Mrs. Ralph"
"Herriott, Seneca"
"Hewitt, Edgar"
"Hibbard, F"
"Hibben, Frank"
"Hidlicka, Ales"
"Higgins, Bryant"
"Higgins, George"
"Higgins, Winifred"
"Hight, H."
"Hill, Mr."
"Hill, Paul"
"Hill, T. S."
"Hillman, F."
"Hillman, H."
"Hinckley, Robert"
"Hines, W"
"Hirshberg, Steven"
"Hitchcock, Prof. E"
"Hoar, Samuel"
"Hodgdon, D."
"Hodge, F."
"Hodge, H. G."
"Hodges, Percy"
"Hodgman, F"
"Hoffman, Curtiss"
"Hoffman, George"
"Hofmann, Arthur"
"Hogancamp, Harry"
"Holband, Dudley"
"Holcomb, Benton"
"Holcomb, Irving"
"Holland, Dudley"
Holmes
"Holmes, Henry"
"Holmes, Paul"
"Homan, F"
"Homer, Tatum"
Hooper
"Hooper, Fred"
"Hooten, E."
"Hope, Claude"
Hopi Tribe
"Hopkins, A.L."
"Hopkins, Frank"
"Hopkinson, John"
"Hornblower II, Henry"
"Hornblower, Harriet"
"Hornblower, Jr., Ralph"
"Hornblower, R."
"Hornblower, Ralph"
"Horse Capture, George"
"Hovey, George"
"Howard, Maj. J. R."
"Howe, Henry"
"Howell, Minnie"
"Howes, Ormund"
"Howes, William"
"Howland, Henry"
"Hrdlicka, Ales"
"Huff, Myron"
"Hughes, F"
"Hull, George Y."
"Hume, Patricia"
"Humphrey, Dr. F"
"Humphrey, George"
"Humphreys, E."
"Hunneman, Richard"
"Hunt, Joseph"
"Hunter, A"
"Huntington, F."
"Hurst, Norman"
"Husketh, James"
"Hutchins, Gordon"
"Hutchins, Mark"
"Hyde, Robert"
"Hyde, Simon"
"Hydon, W."
"Ingle, Jerry"
"Innes, A."
"Jackson, W."
"Jacobs, E."
"Jacobs, Henry"
"Jacques, Roger and Mary"
"James, J."
"Jeddore, Joe"
"Jeddore, John"
"Jeddore, Mrs. Noel"
"Jeddore, Noel"
"Jenkins, William"
"Jewell, P."
Jicarilla Apache Tribe
"Jimerson, LeRoy"
"Joe, Mrs. Andrew"
John Kimball
"Johnson, Arthur"
"Johnson, D."
"Johnson, Frederick"
"Johnson, H. L."
"Johnson, Mertie"
"Johnson, Roscoe"
"Johnson, Ted"
"Johnson, W."
"Jones, Frederick"
"Jones, Howard"
"Jones, Katherine"
"Jones, W."
"Jordan, Doug"
"Jordan, Melvin"
"Judd, Neil"
"Kellogg, Doug"
Kelly
"Kemp, B."
"Kendall, Rev. H"
"Kennard, E"
"Kern, D."
"Kershaw, Dr., C."
Kialegee Tribal Town
"Kidder, Alfred"
"Kidder, James"
"Kidder, Mrs. Henry"
"Kimball, John"
"King, B"
"King, G."
"King, Gilbert"
"Kingsbury, Isaac"
"Kinney, D"
Kiowa Business Committee
"Kirk, Darcy"
Knapp
"Knapp, P. W."
"Knapton, John"
Koons
"Kopec, Diane"
Lafayette Museum
"Lafero, Teri"
"Lane, Homar"
"Larson, Lewis"
"Latham, Roy"
"Lathrop, W"
"Laurgson, Andrew"
"Lawson, P."
"Le Arter, N"
"Leach, Neil"
"Lee, Mathew"
"Lee, William"
"Leefres, Ira"
"Leland, E"
"Leontine, Dr. G."
"Lervey, Noel"
"Levering, Richmond"
"Lewis, A."
"Lewis, Charles"
"Lewis, J.B."
"Lewis, Robert"
"Lewis, Walter"
"Ling, Reamer"
"Lister, Mrs. George A."
"Lithgow, Dr. R.A. Douglas"
"Little, Anita"
"Lomas, J."
"Lord, D.W."
"Lord, G."
"Lord, Mary P."
"Loring, Stephen"
"Lothrop, Samuel K."
"Love, W"
"Lowe, Lyman"
"Lowry, Otho"
"Luce, Fred"
"Luce, Stanley"
"Ludwig, Daniel"
"Luedtke, Barbara"
"MacDonald, Cecil"
"MacFarland, W."
"Mackay, Richard"
"Mackenzie, J."
"MacKenzie, Jimmy"
"MacNeish, Richard"
"MacNeish, Richard S."
"Macord, Elain"
"Magennis, A."
"Mahlstedt, Thomas"
"Main, Malcolm"
"Mairo, Glenn"
"Mamani, Pascuala"
"Manning, Frances"
"Manye, William"
"Margerison, Mr."
"Marks, Arthur"
"Marks, Copeland"
"Marles, A"
"Marmon, Lee"
"Marmon, Leslie"
"Marsh, Donald"
"Marshall, Fred"
"Marshall, Janet"
"Martin, Catherine"
"Martin, Dr."
"Martin, George"
"Martin, W."
MAS South Shore Chapter
"Mashantucket Pequot Nation, Richard A. Hayward"
Mashpee Wampanoag Tribal Council
Massachusetts Archaeological Society
"Mattern, J."
"Mayhew, Carlton"
"Mayhew, Ernest"
"McBain, W.G."
"McCain, John"
"McCauley, Harley"
"McClellan, John"
"McClellan, Mrs."
"McConnell, George"
"McCoy, Solon"
"McGuire, J"
"McKenna, David"
"McLain, W.G."
"McMahon, T."
"McManamon, Francis"
"McMillan, Barbara"
"McMillan, Thomas"
"McNemar, Donald and Britta"
"McPhee, Michael"
"McTerrill, Fred"
"McWhorter, L. V."
"McWinney, Mrs. H."
"Mendez, Ceci"
"Meredith, Reverend H."
Merrimack Valley Textle Museum
Mescalero Apache
Mescalero Apache Tribe
"Metz, Charles"
"Metzger, T."
"Meyers, George"
"Middlemas, Arthur"
"Mignon, Paul"
Mill Co.
"Millard, L.S."
"Miller, Howard"
"Miller, James"
"Mills, Gertrude"
"Mimno, Susan"
"Miner, Charles"
Mitchell
"Mitchell, Allen"
"Mitchell, C."
"Mitchell, James"
"Mitchell, Mrs. J."
MJW
"Moffett, Ross"
"Monk, Harry"
"Montgomery, Katherine"
"Moody, Edwin"
"Moore, Clarence"
"Moore, J. E."
"Moorehead, Ludwig and Singleton"
"Moorehead, Mable"
"Moorehead, Paul"
"Moorehead, Singleton"
"Moorehead, W.K."
"Moorehead, Warren"
"Moorehead, Warren."
"Moorehead?, Warren"
"Morcombe, Edward"
"Morgan, W.J."
"Morrill, C"
"Morris, Chris"
"Morris, G."
"Morris, Mary Anne"
"Morris, Mary Josephine"
"Morris, Matthew"
"Morris, Mrs. Louise"
"Morris, Steve"
"Morris-Sylliboy, Nancy"
"Morse, D."
"Morse, G."
"Morton, Augustus"
"Morton, Ralph"
"Mott, Raymond"
"Muichin, J."
"Municipal Museum, Rochester, NY"
"Munn, Henry"
"Munson, August"
"Munson, Cheryl"
"Munson, William"
"Muscogee Creek Nation, Historic Preservation Officer"
Musee d'Archeologie national
Museum of American Indians
Museum of New Mexico
Museum of Northern Arizona
Narragansett Tribe
Navajo Nation Historic Preservation Department
"Nelson, Charles"
"Neville, T."
"Nevin, Ethelbert"
"New Name, Lee"
"Newbegin, Mr."
"Newman, M."
"Newton, W."
"Nicholas, Mary"
"Nickerson, Edward"
"Nissley, J"
"Noe, Charles"
"Noon, Tilly"
Nooning
Norland
"Norris, P"
North Andover
"Nouse, George"
"Nye, Everett"
"O'bonsawin, Chief Fernand"
"O'Brion, John"
Ohio State Museum
"Ohl, Andrea"
"Orchard, F."
"Ordway, W."
"Orsini, Tony"
"Osborn, Francis"
"Osborne, John"
"Osburn, Albert"
"Pacifique, Father"
"Paine, Elizabath Knight"
"Paisley, William"
"Palter & Bonenfant, UMO"
"Palter and Bonenfant, UMO"
"Panning, H"
"Paquin, Charles"
"Parker, C."
"Parker, Chandler"
"Parker, Richard"
Parson
Parsons
"Parsons, Elsie Clews"
"Parsons, Henry"
"Patrakis, Joan"
"Paul, Peter"
"Payne, Edward"
Peabody Museum
"Peabody, Charles"
"Peabody, R."
"Peabody, R."
"Peabody, R."
"Peabody, Robert"
"Peabody, Robert S."
Pearl
"Pease, Stanley"
Peavy
"Peck, H."
"peck, j"
Pecos National Historical Park
"Peddrick, W.E."
"Peebles, Giovanna"
"Peel, J."
"Penney, J."
"Perez, Francisco"
"Perkins, Charles"
"Perkins, Ralph"
"Perry, Geoffrey"
"Perry, John"
"Peters / Slow Turtle, John"
"Peters, Joseph, Jr."
"Peters, Ramona"
"Peterson, John"
"Petzold, Shirley"
"Pfiel, John"
"Phelps, Arthur"
Phillips Academy
"Phillips, C"
"Phillips, Carlton"
"Piela, Dick"
"Pierce, Frank"
Poarch Band of Creek Indians
"Pomeroy, A."
"Poor, Harry"
Porter
"Potvin, Raymond"
"Poulette? Pullet?, Mrs."
Poundmaker
"Pratt, Ethel"
"Prentice, G"
"Price, Annie"
"Prokes, Joseph N."
Public Archaeology Lab
Pueblo of Cochiti
Pueblo of Jemez
Pueblo of Santo Domingo
"Purdon, Frank"
"Putnam, F.W."
R.S. Peabody Foundation
"Radley, W"
"Ralston, Gail"
"Randall, Lindsay"
"Rankin, John"
"Rankin, John"
"Rawlins, Henry"
"Rayner, J."
"Red Cloud, Jack"
"Redwolf, Noel"
"Reed, Alva"
"Reed, Mac Minn"
"Reese, W. L."
"Renno, E. Lee"
"Rerjo, A."
"Resnick, Myron"
"Reynolds, B"
"Reynolds, Fred"
"Rich, Earle"
"Richardson, George"
"Richardson, James"
"Richardson, James"
"Richardson, Ruth"
"Ricker, Walter"
"Riggs, C.W."
"Ritchie, Duncan"
"Ritchie, Mary"
"Robbins, Maurice"
"Roberson, Wilson"
Robert S. Peabody Foundation for Archaeology
Robert S.Peabody Foundation for Archaeology
Robertson
Robinson Bros.
"Robinson, joe"
"Robinson, Paul"
Rochester Museum and Science Center
"Rockwell, Forbes"
"Rogers, Charles"
"Rogers, E"
"Rogers, Edward"
"Rogers, Murray"
"Rogers, Robert"
"Rollins, Maurice"
"Romero, Marie"
"Roming, C"
"Ropes, Mr."
"Rosenmeier, Leah"
"Rosenmeier, Leah"
"Rosenthal, Beryl"
"Ross, Ellen"
"Ross, Franklin"
"Rosser, John"
"Rounds D.M.D., Charles"
"Rouse, B."
"Rowe, J"
"Rowe, John"
"Rowe, L."
"Royce, Frank"
"Rudie, Mertina"
"Ruggles, C."
"Rutledge, A."
Ryder
"Sabquiu, Maria"
"Saity, David"
"Sakiestewa, Ramona"
"Salmon, Mr."
Salt River Indian Community
"Salta, G."
"Sanders, Chas"
"Sanger, David"
"Sanger, David"
"Sargent, Howard"
"Sark, Mrs."
"Sarpent, Howard"
"Sarren, Eleanor"
"Saunders, Len"
"Savary, Walter"
"Sawtelle, George"
"Sawyer, Herbert"
"Scanton, Kevin"
"Schmelly, Ezra"
"Schnell, Eric"
"Schnell, Eugene"
"Schuster, Angela"
"Schuster, Lester"
"Scott, William"
"Seacrist, E. F."
"Seamans, S."
"Sears, C."
"Seever, W. J."
"Seton, George"
"Sewall, Mr."
Shaw
"Shay, Lawrence"
"Shelby, Jane"
"Shellnutt, John"
"Sherwood, George"
"Sherwood, James"
"Shields, M."
"Shimer, J. D."
"Shippee, J. Mett"
"Shoemaker, L."
"Shranders, W."
"Simon, Brona"
"Sing, John"
"Sing, Mamie"
"Skinas, David"
"Slade, William"
"Slagle, J"
"Slater, Donald"
"Smith, Albert"
"Smith, Benjamin"
"Smith, C."
"Smith, C."
"Smith, George"
"Smith, H."
"Smith, J"
"Smith, J."
"Smith, J."
"Smith, L. B."
"Smith, Marcus"
"Smith, Marilyn"
"Smith, Marjory"
"Smith, Peter"
"Smith, S"
"Smith, Stanely"
"Smith, Sumner"
"Smith, Ulmer"
"Smith, W"
"Smith, W"
"Smith, W."
"Smith, W."
"Smith, Walter"
"Smith, Z. T."
Smithsonian Institute
"Smolak, Michael"
"Snirely, Benj."
"Snow, Albert"
"Snow, Dean"
"Snow, Freeman"
"Snow, Howard"
"Snow, Paul"
"Snyder, W."
"Sousa, Bonnie"
Southwest Museum
"Spahr, D."
"Sparrow, D"
"Spaulding, W."
"Speck, Frank"
"Spencer, LeRoy"
"Spengler, Silas"
"Sperry, James"
"Sperry, Lynn"
"Spiess, Arthur"
"Sprague, William"
"Stafford, Howard"
"Stafford, Phyllis"
"Stannard, Mr."
"Starkweather, Mrs. M. J."
"Stearns, Samuel"
"Steinbrueck, Ernst R."
"Steiner, Roland"
"Stelzer, Roy"
Stern
"Stern, Theodore"
"Stetson, John"
"Stevens, Daniel"
"Stevens, George"
"Stevens, Margaret"
"Stewart, Arch"
"Stewart, F."
"Stewart, Susan"
"Stickney, Walter"
"Stiles, E."
"Stillman, F"
"Stillwell, L"
"Stockwell, Louis"
"Stoddard, R"
"Stoddard, Theodore L."
"Stoddard, Theodore L. L."
"Stone, Osborn"
"Stover, Louise"
"Stowe, N."
"Street, Charles"
"Strevell, C."
"Strong, William"
"Strout, Charles (?)"
"Sturge, Dr. W. Allen"
"Sturgis, H."
"Sugden, E."
"Sugden, Ernest"
"Sutherland, Miss."
"Swift, R."
"Sykes, Elwin"
"Sylliboy, Gabriel"
Sylvester
"Talbot, A."
"Talyor, W."
"Taylor, Hiram"
"Taylor, J."
"Taylor, J. L."
"Taylor, Mrs. H."
"Taylor, W."
"Taylor, William"
"Tenny, James"
"Terrill, Fred"
"Tew, George"
"Thacker, W. H."
"Thatcher, Joseph"
The Confederacy of Mainland Mi'kmaq
Thlopthlocco Tribal Town
"Thoburn, Professor J."
"Thompson, C."
"Thorndike, W."
"Thorstensen, S."
"Thorstenson, Susan"
Three Affiliated Tribes
"Tibbetts, Noah"
"Titcomb, Alan"
"Tobin, William"
Tohono O'Odham
"Tolman, Adams"
"Tooker, Paul"
"Torrey, Howard"
"Towle, Gerald"
"Towle, Margaret"
"Town of Brooklin, ME"
"Toya, George"
"Toya, Jake"
"Toya, John"
"Toya, Mary"
"Tracht, Arthur"
"Treat, Robert"
"Treganowan, A."
"Treganowan, Frank"
"Trigamouran, A"
Trustees of Reservations
"Tuller, Charles"
"Tuller, Eber"
"Tupper, G."
"Turner, Jody"
"Tuttle, L."
"Tweed, J. W."
"Tyzzer, Ernest Edward"
U. S. National Museum
United Keetoowah Band of Cherokee Indians
University Museum Philadelphia
"Upton, Balch"
"Urnes, Paul"
"Vaccaro, Anthony"
"Vaccaro, Frank"
"Vaccaro, Joseph"
"Vaccaro, Niccola"
"Vail, Theo."
"Vaillant, George C."
"Van Hensen, J."
"Van Kirk, J."
"Van Rensselaer, Stephen"
"Van Reusselaer, Stephen"
"Vaughan, F"
"Veazie, John"
"Vincent, Leona"
"Volk, Ernest"
"Von Mach, Edmund"
"Vost, Prescott"
"Wakeman, Tracy"
"Walsh, Thomas"
"Walters, George"
Wampanoag Tribe of Gay Head/Aquinnah
"Ward, Mrs. Charles"
"Ware, George"
"Waring, Antonio"
"Warner, David"
"Warner, Rose"
"Washburn, Chas"
"Waterbury, A."
"Watkins, Kelly"
"Watson, Albert"
"Watson, Sydney"
"Webster, Clement"
"Webster, Elon"
"Webster, Frank"
"Webster, R."
"Wellfish, G"
"Welty, John"
"Weltz, John"
"Wenament, Clarence"
"Wentworth, Charles"
"Wertz, C"
"Westbrook, E."
"Westgate, Willaim"
"Wheeler, (Mrs.) William"
"Wheeler, H."
"Whelpley, H.M."
"White, Charles"
"White, Edward"
"Whiting, W."
"Whitman, John"
"Whittall, Jim"
"Whittier, Arthur"
Wichita and Affiliated Tribes
"Widdicomb, George"
Wiesner
"Wilcomb, C"
"Wilcox, Calvin"
"Wiley, Joe"
"Williams, Jr., E. H."
"Willoughby, Charles"
"Willson, Jesse"
"Wilmot, Peter"
"Wilson, F."
"Wilson, G."
"Wilson, Jesse"
"Winans, A"
"Wing, E"
"Wing, E"
"Winter, Eugene"
"Witmer, I"
"Wood, J"
"Wood, M."
"Wood, May"
"Wood, Walter"
"Woodworth, J.B."
"Woof, J.W.P."
"Worcester, Elwood"
"Wren, Christopher"
Wyman 1867
Wyman 1868
"Wyman, Richard"
"Yepa, Bessie"
"Young, Bennett"
"Young, Calvin"
"Young, Cordelia"
"Young, Mrs. Ernest"
"Young, Walter"
"Zaeder, Philip"
Zuni Pueblo
“Janey Look”
