,Cat Number,Site Number,Locality,Site,Name,Situation
32,| Cat. No. 33,M50/1,"Locality Bquibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibnocket Cliff.,Name Quartz arrowhead.,Situation In very small shell pit located on bank east of
33,Cat. No. 34,M50/1,"Urdu? Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff.,Name Flint arrowhead.,Situation Top of first shell layer (west).
34,Cat. No. 35,M50/1,"Locality Squibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibnocket Cliff.,Name one quartz arrow.,Situation Upper shell Tr.1.
35,I Cat. No. 36,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff .,Name Quartz arrow.,Situation In shell in Tr.I.
36,Cat. No. 37,M50/1,"Ux??y Squibnocket Head, southwest side 0
Martha's Vineyard, Mass.",Site Squibnocket Cliff.,Name Broken arrow.,Situation In shell in Tr. I.
37,| Cat. No. 38,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff.,"Name Crude unfinished chipped quartz

__A.l_‘A.",Situation In shell in TI.I.
38,Cat. No. 39,M50/1,"de?y Squibnocket Head, southwest side 0
Martha' 8 Vineyard, Mass.

.1. -‘I'I",Site Squibnocket Cliff .,Name Crude notched sinker.,Situation In small/pit located on bank east of excavation. I
39,| Cat. No. 40,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 5 Vineyard, Mass.",Site Squibnocket Cliff.,Name Broken point .,Situation Near hearteIII in humus below shells.
40,Cat. No. 41,M50/1,"Lmnmw Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket 01 if f .,Name Kameratone.,Situation Found in scrap.
41,I Cat. No. 42,M50/1,"Locality Squibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibnooket 01 iff .,Name Deer ulna. awl.,"Situation First shell layer, N.E. of stake B."
42,| Cat. No. 43 T,M50/1,"Locality Squibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibnocket Cliff.,Name Point of broken awl.,Situation In hard packed loam.
43,Cat. No. 44,M50/1,"deky Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff .,Name Bone awl.,"Situation Beneath shell in black sandy loam, near stake A I"
44,| Cat. No. 4-5,M50/1,"memy Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff.,"Name Very algal]. bone awl, central frag-","Situation Lower scallop shell, near stake B."
45,Cat. No. 46,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 8 Vineyard, Mass.",Site Squibnocket 01 if f .,Name Piece of worked bone.,Situation Shells of lower layer.
46,I Cat. No. 47,M50/1,"Mt? Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff.,N'me Broken awl .,Situation First shell layer.
47,| Cat. No. 48,M50/1,"Locality Squibnocket Head, southwest side of
Martha' a vineyard, Mass.",Site Squibno cket Clif f .,Name Bone awl .,Situation Near too of upper shells.
48,Cat. No. 49,M50/1,"Locality Squibnocket Head, southwest side 0
Martha's Vineyard, Mass.",Site Squibnocket Cliff.,Name Middle of bone ail.,"Situation First shell layer, W. end."
49,Cat. No. 50,M50/1,"Locality Squibnocket Head, southwest side 0
Martha' 8 Vineyard, Mass.",Site Squibnocket Cliff .,Name Piece of bone awl.,Situation First shell layer.
50,| Cat. No. 51,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 6 Vineyard, Mass.",Site Squibno cke 1: Cl iff .,Name Bone awl.,Situation Black occupational debris over west end of pit 1.
51,I Cat. No. 52,M50/1,"Locality Squibnooket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cl iff .,Name Small bone point.,Situation In scallop shells.
52,| Cat. No. 53,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff.,Name Blue wampum bead.,Situation Top of heap near west end of cut.
53,| Cat. No. 54,M50/1,"locality Squibnocket Head, southwest side of
Martha} 3 Vineyard, Mass.",Site Squibnocket 01 iff.,Name Antler tine awl.,"Situation In black dirt above lower shell layer west of

__4IA. n"
54,Cat. No. 55,M50/1,"Locality Squibnocket Head, southwest side 0
Martha' 3 Vineyard, Mass.",Site Squibnocket Cliff.,Name Antler socket.,Situation In shells at base of first layer at west end. I
55,Cat. No. 56,M50/1,"Locality Squibnocket Head, southwest side of
Martha's Vineyard, Mass.",Site Squibno cket 01 if f .,Name Broken all.,Situation In base of first shell in W. part of heap.
56,| Cat. No. 57,M50/1,"Locality Squibnocket Head, southwest side of
Martha' 5 Vineyard, Mass.",Site Squibnocket 01 iff.,Name Broken awl .,Situation In base of first shell in W. part of heap.
