,Cat Number,Site Number,Locality,Site,Name,Situation
907,Cat. No. 2105,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,"Name Inoiaed , perforated b","Situation Trench 111.2, Section 13:. Poejc ggction, 38cm."
908,I Cat.No. 2106,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name ' Piece of worked bone.,"Situation Trench IA: 2 Section 1?: E. wall, 21cm. below

_l_._"
909,| Cat. No. 2107,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name Broken canine tooth o,"Situation Trench IB Section 1E. On top_ _of_ _she_11 and

‘_— _ [-—"
910,I Cat. No. 210;,Me.152/1,"J Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name Incieed bone .,"Situation Trench IA.3, Section 1E. S.E. part of 2nd shell."
911,Cat. No. 2109,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Fragment of beaver to,"Situation Trench IA.5, Section 1E. Bottom of 2nd shell."
912,Cat. No. 2110,Me.152/1,"Locality Bluehill Falls, 1.",Site Nevin Shell Heap.,Name Shank of barbed b,"Situation Trench IA.3, Section 1E. 2nd shell."
913,| Cat. No. 211],Me.152/1,"Locality Bluehill Falls, L'e.",Site Nevin Shell Heap .,Name Broken pendant .,"Situation Trench IA.3, Section 1E. Mixed shell."
914,Cat. No. 2113,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Eye of broken bone ne,"Situation Trench n.3, Section 1E. 3rd shell layer."
915,| Cat. No. 211:,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Fragment of bone need,"SituatiOn Trench n.3, Section 1E. 3rd shell layer."
916,Cat. No. 2114,Me.152/1,Locality Bluehill Fall,"Site

Nevin Shell",Name Point of bone,"Situation Trench IA.L’>, Section 1E. 3rd shell layer"
917,| Cat. No. 2115,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name we end of needle.,"Situation Trench 111.3, Section 1E. Black humus and pebble:"
918,Cat. No. 2116,Me.152/1,Locality Bluehill Fa,Site Nevin Shell,Name Antler tine,"Situation Trench IB, Section 1E. 2nd shell layer"
919,Cat. No. 2117,Me.152/1,Locality Bluehill Fa,Site Nevin Shell,Name Part of awl,"Situation Trench 113, Section 1E. 2nd shell layer"
920,Cat. No. 2118,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Piece of worked antle,"Situation Trench IE, Section 1E. 2nd shell layer."
921,I Cat. No. 2115,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Beaver tooth ch isel.,"Situation Trench IB, Section 1E. Bottom of 2nd shell layer"
922,I Cat. No. 2121,Me.152/1,", Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Eye end of needle.,"Situati‘m Trench IB, Section 1E. 2nd shell laver."
923,I Cat. No. 212:,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Part of needle .,"Situation Trench IB, Section 113. Black humus and pebbles"
924,I Cat. No. 212;,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap.,N'me Part of needle .,"Situation Trench IR, Section 1352. Black humus and pebbles-"
925,I Cat. No. 212:,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Part of broken bone a,"Situation Trench IB.1, Section 1E. Just below plow line"
926,Cat. No. 2124,Me.152/1,"Locality Bluehill Falls, Me","Site

Nevin Shell Heap.",Name 2 pieces of bone n1,"Situation Trench IB.1, Section 113. Central p‘arjs‘of blac"
927,| Cat. No. 2125,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Barbed bone arrowpo in,"Situation Trench IB.1, Section 1E. Black humus and pebble:"
928,| Cat. No. 212(,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Sawed swordfish sworc‘,"Situation Trench IB.1, Section 1E. Black humus and pebble:"
929,Cat. No. 2127,Me.152/1,"Locality Bluehill Falls, M","Site

Nevin Shell Heap.",Name Point of bone neec‘,"Situation Trench IB.1/O, Section 1E. Under post knocke

,qu‘IA_9"
930,I Cat. No. 2121,Me.152/1,"I Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,,"Situation Trench IE. 2, Section 1E. Above plow line on top

.A A1,,"
931,Cat. No. 2129,Me.152/1,Locality Blueh ill F,Site Nevin Shel‘,Name Fragment o:,"Situation Trench IB.2, Section 1E. At plow line"
932,| Cat. No. 213(,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Broken beaver tooth c,"Situation Trench IB.2, Section 1E. In shells below plow"
933,| Cat. No. 213],Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Broken bone and .,"Situation Trench 113.2, Section 1E. Black humus and pebble:"
934,I Cat. No. 21:5;,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap .,Name Fragment of foreshaft,"Shunt-i” Trench IB.2, Section 1E. Black humus and pebble"
935,Cat. No. 2133,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name Fragment of bone awl‘,"Situation Trench IB.3, Section 1E. Black humus and pebble"
936,I Cat. No. 213‘.,Me.152/1,"Locality Bluehil]. Falls, Me.",Site Nevin Shell Heap .,Name Broken bone awl .,"Situation Trench IB.2, Section 1E. Black humus and pebbles"
937,Cat. No. 2135,Me.152/1,"Locality Bluehill Fans, Me.",Site Nevin Shell Heap.,Name Piece of bone needle,"Situation Trench IB.2, Section 1E. Black humus and pebbles"
938,Cat. No. 3136,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shel 1 Heap -,Name Piece of cut bone.,"Situation Trench 18.2, Section 1E. Black humus and pebbles"
939,| Cat. No. 2137,Me.152/1,"Locality Bluehill Falls, Me.
\","Site

Ne‘vin Shell Heap .",Name Worked bone - 5 piece,"Situation Trench I§.2, Section 1E. Stake section, humus"
940,Cat. No. 2138,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name End of bone awl.,"Situation Trench IB.3, Section 1E. On top of black humus"
941,Cat. No. 2139,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Point of bone awl.,"Situation Trench IB.3, Section 1E. On top of black humus"
942,Cat. No. 2140,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Fragment of burnt b0},"Sim-“35°“ Trench IB..'5, Section 1E. Black humus and pebble"
943,I Cat. No. 214],Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Piece of burnt worked,"Situa?On Trench IB.3, Section 1E. Black pebbles and humus"
944,| Cat. No. 214;,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Fragment of beaver tc,"swath“ Trench 18.3, Section 1E. Black pebbles and humus"
945,I Cat. No. {314;,Me.152/1,,"J Site

*Y

-v-",,"Situation Trait)?"" Tp?’: mmf?n 1:? PUP-n77 111122113 WM j'-r>h‘h1n'f"
946,Cat. No. 2144,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Small barbed bone. ar:,"Situation Trench IB..'3, Section 1E. Black humus and pebble"
947,I Cat. No. 3141,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Nine Simple bone point .,"Situatim Trench 18.3, Section 1E. Black humus and pebbles"
948,Cat. No. 2146,Me.152/1,"Locality Bluehil]. Falls, Me","Site

Nevin Shell Heap.",Name Plaque — probably -,"Situation Trench IB.3, Section 1E. Stake below and shel"
949,| Cat. No. 2141,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Woi-ked siordfi eh st:,"Situation Trench IC/O, Section 1E. Stake section, pebbles"
950,Cat. No. 2148,Me.152/1,"Locality Bluehill Falls, Me",Site Nevin Shell heap .,Name Broken awl .,"Situation Trench 10, Section 1E. Deep in black humus an

A v“ n 1:,"
951,I Cat. No. 2145,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Worked swordfish swoz,"Situation Trench IC, Section 1E. Deep in black humus

.“ — U. a c- _ [-—"
952,| Cat. No. 215(,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Barbed harpoon.,"Situation Trench IO, Section 1E. Stake section, 13cm."
953,Cat. No. 2151,Me.152/1,"Locality Bluehill Falls, M",Site Nevin Shell Heap.,Name Piece of broken b<,"Situation Trench IC, Section 1E. Top of 2nd shell laye"
954,Cat. No. 2152,Me.152/1,"Locality Blu ehi].1 Falls ,",Site Nevin Shell Heap‘,Name Pot shards .,"Situa?On Trench _IA_.}, Section 1E. 27cm. below IA.1 i‘"
955,Cat. No. 2153,Me.152/1,Locality Bluehill Fall,"Site

Nevin Shell Hw",Name Pot sherds .,"Situation Trench IA.2, Section 1E. Above plow line"
956,| Cat. No. 2154,Me.152/1,"Locality Blueh‘lll Falls, Me.",Site Nevin Shell Heap.,Nlme Pot shards .,"Situation Trench IA._ 3, Sect19n_1E. From upper shell-flecke"
957,Cat. No. 2155,Me.152/1,Locality Blu ehill Fal'.,Site Nevin Shell H,Name Pot sherd.,"Situation Trench IB, Section 1E. On surface."
958,I Cat. No. 215,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Pot sherds.,"Sim?m Trench 133, Section 1E. In top of shell and"
959,I Cat. No. 2157,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pot sherds .,"Situation Trench IB, Section 1E. 1813 Shell layer."
960,I Cat. No. 3152,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap-,Nme Pot shards .,"Situation Trench IB, Section 1E. 2nd shell layer."
961,Cat. No. 2159,Me.152/1,"Locality Bluehill Falls, ue.","Site

Nevin Shell Heap.",Name 2 pot eherds .,"Situation Trench IB.1, Section 1E. Shells above plow line"
962,I Cat. No. 2161,Me.152/1,"' Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pot sherd.,"Situation Trench 18.1, secgion 1E. Shells and pebbles"
963,Cat. No. 2161,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Pottery.,"Situation Trench 113.1, Section 113. In shells throughout"
964,I Cat. No. 216;,Me.152/1,"' Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Pot sherds '.,"Situation Trench IE.2, Section 1E. Just at plow line."
965,| Cat. No. 216;,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Pot sherd .,"Sim?on :Pl‘ench 13.2, Section 113. In shells below plow"
966,Cat. No. 2164,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pottery .,"Situation Trench IB.2, Section 1E. Stake section - shells"
967,| Cat. No. 8165,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pottery .,"Situation Trench IB.3, Section Hi. In shells above plow"
968,| Cat. No. 816(,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name Pot she'rd.,"Situation Trench 18.3, Section 1E. On 120;) of black humus"
969,"%
Cat. No. 2161",Me.152/1,"Locality Bluehill Falls ,","Site

Nevin Shell Hea;",Name Pot shard.,"Situation Trench IB.3, Section “:1E Center of souther:

.I‘,"
970,"Cat. No. 2,168",Me.152/1,"Locality Bluehil] Falls, Lie.",Site Nevin Shell Heap .,Name Pottery.,"Situation Trench IO, Section 113. In shells below plow 11m"
971,"Cat. No. 2,169",Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pot shard.,"Situation Trench 10, Section 113. Just below shells in

L‘- -1- L_-_4__-"
972,Cat. No. 2170,Me.152/1,"MW Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pot aherds .,"Situation Trench IC, Section 1E. In west bank of section

Q,,-IA I'L_3 1 _____ An _L-11 .l_ 1.1--1- 1.--”--"
973,Cat. No. 2171,Me.152/1,"Locality Bluehill Falls, Me",Site Nevin Shell Heap .,Name Pot shards .,"Situation Trench 10, Section 1E. Stake section in shell"
974,I Cat. No. 2172,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap .",Name Pot sherd.,"Situation Trench 10, Section 1E. Stake section in black"
975,I Cat.No. 217:,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Pot sherd .,"Situation Trench IC.1_, Section IE, on IC line about 60cm."
976,| Cat. No. 2174,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name Pot shard.,"Situation Trench IC. 1, Section 1E. In center of east half

-3 __-.l_.l__ 11 a"
977,Cat. No. 2175,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Pot shard .,"Situation Trench 10.1, Section 1E. In center of east half

\,A-|'I 1 _'I -A“ ._? ._ 11—;"
978,Cat. No. 2176,Me.152/1,Locality Blueh ill Fa,Site Nevin S ehll,"Name

Plummet .","Situation Grave 9, burial 2. #331 on field chart"
979,Cat. No. 3177,Me.152/1,"Locality Bluehill Falls, M4",Site Nevin Shell HGaP -,Name Skinning knife .,"Situation Grave 9, burial 2. #330 on field chart."
980,I Cat. No. 2178,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name éone dagger .,"Situation Grave 9, burial 1. #304 on fiald chart."
981,Cat. No. 2179,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name I—ncised bone dagger,"Situation Grave 9, burial l. #306 on field chart. On to

,, 7 _ALL"
982,Cat. No. 2130,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name gone dagger .,"Situation Grave 9, burial 1. #305 on field chart. On to."
983,Cat. No. 2181,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Small animal teeth.,"Situation Grave 9, buria1 1. #1307 on field chart. On

___.A_ __-|_"
984,| Cat. No. 2182,Me.152/1,"‘ Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Unidentified bone.,"Situation Grave 9, burial 1. Under head of westernmost"
985,l Cat.No. 2.18:,Me.152/1,", Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name 2 animal metatarsals.,"Situation Grave 9, burial l, #313 on field chart. At"
986,Cat. No. 2184,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Incl sed bone dagger.,"Situation Grave 9, burial 1, #1308_ in field chart. North"
987,Cat. No. 2185,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Point of bone awl.,"Situation Grave 9, burial 1, #314 on field chart. West 0"
988,Cat. No. 2186,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,"Name Four double ended bon

L_-1_ -...","Situation Grave 9, burial 1, #315 on field chart. Running"
989,Cat. No. 2187,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Inci sed bone dagger .,"Situation Grave 9, burial 1, #309 on field chant. Running;"
990,Cat. No. 2188,Me.152/1,"Locality Bluehiu Falls, Me",Site Nevin Shell Heap.,Name Bone dagger .,"Situation Grave 9, burial 1, #316 on field chart. Lyin;"
991,Cat. No. 2189,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Piece of split bird 1:,"Situation Grave 9 burial 1, #317 on field chart. Just ea:

n...q n"
992,Cat. No. 2190,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Broken beaver tooth o?,"Situation Grave 9, burial 1 #318 on field chart. Just

a ""—1-."
993,I Cat. No. 219,Me.152/1,". Locality Bluehill Falls, Lie.",Site Nevin Sheil Heap.,,"Situation GraVe 9, burial 1. Under skull at head of east"
994,I Cat. No. 219;,Me.152/1,"' Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Antler tine socket.,"Situation Grave 9, burial 2. To south of skeleton. #303"
995,I Cat. No. 219:,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Incised bird bone £1111,"Situation Grave 9, Burign. 2. #322 on fiel? chart."
996,Cat. No. 2194,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Small animal t?) tee1,"Situation Grave 9 burial 8, #383 on field chart. From

A“- :I ___1__l A"
997,Cat. No. 2195,Me.152/1,Locality Bluehill Fe,Site Nevin Shell,Name Inciaed bon‘,"Situation Grave 9, burial 2. #319 on field chart"
998,Cat. No. 2196,Me.152/1,Locality Eluehi 11 Fa],Site Nevin Shell 1,Name Incised bone,"Situation Gere 9 burial 2. #320 on field chart

_-A"
999,I Cat. No. 2191,Me.152/1,"\ Locality Bluehill Falls, Me.
i",Site Nevin Shell Heap.,Name Broken beaver tooth c,"Situation Grave 9, burial 2. Under middle of #320 On

£1-13 -i,"
1000,| Cat. No. 219$,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Bone dagger .,"Situation Grave 9, burial 2, #322 on field chart."
1001,/ Cat. No. 2199,Me.152/1,"Locality Bluehill Falls,",Site Nevin Shell heap,Name Small animal tee',"Situation Grave 9 burigl 3 and 4, #335 on field chart"
1002,Cat. No. 2200,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,"Name Point of incised dagg

‘4 A--","Situation Grave 9,1.urial 2, #326 on field chart, east

A1 1‘ Innv—n‘"
1003,Cat. No. 2201,Me.152/1,"Locality Bluehill F9118, lie.","Site

Nevin Shell Heap.",Name Incised bone dagger.,"Situation Grave 9, burial 8, #327 on field chart, west of"
1004,Cat. No. 2202,Me.152/1,"Locality Eluehill Falls, Me.","Site

k
Nevin Shell Heap .","I'
Name Antler socket .","Situation Grave 9, burial 2, #1329 on field chart."
1005,I Cat. No. 220;,Me.152/1,"I Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Bone dagger .,"Situation Grave 9, burial 2, #328 on field chart."
1006,Cat. No. 2204,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,"Name Infant teeth, etc .","Situation Grave 9, burial 3, #333 on field chart. Overlay:"
1007,Cat. No. 3205,Me.152/1,"Locality Bluehill Falls, Me.","Site

Nevin Shell Heap.",Name Bone dagger.,"Situation Grave 9, burial 3, #332 on field chart. On top"
1008,| Cat. No. 2206,Me.152/1,"Locality Bluehill Falls, Me.",Site levin Shell Heap .,Name Canine tooth .,"Situation Grave 9, burial S, #334 on field chart."
1009,l Cat.No. 23C,Me.152/1,"Locality Bluebill Falls, Me.",Site Nevin Shell Heap .,Name Broken beaver tooth ch,"Situation Grave _9,_BI;1:_I'1&1 2. #325 on field chart, on"
1010,Cat. No. 3305,Me.152/1,Locality Bluehill Falls,Site Nevin Shell He:,| M 91597.“:,Situation Grave 10. Humus and pebbles under pelvis
1011,I Cat. No. 2201,Me.152/1,"Locality Bluehill Falls, Me.",Sité Nevin Shell Heap .,Name - Barbed bone arrowpoint,"Situation Grave-'10. In humus, above fish bone."
1012,l Cat.No. 221(,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Fragment of bone awl.,Situation Grave 10. #300 on field chart. On humus and
1013,Cat. No. 2211,Me.152/1,LOCO-lit? Bluehill F,Site Nevin Shel,Name Shaft of n,Situation Grave 10. Near left hand of skeleton
1014,| Cat. No. 2212,Me.152/1,"Locality Bluehill Falls, Me.
\",Site Nevin Shell Heap.,Name Worked bone .,"Situation Grave 10. In humus and pebbles under grave near

vu— I‘I‘"
1015,Cat. No. 2313,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Worked bird bone.,"Situation Grave 10. Humue and pebbles below grave, near

,“I‘IH ,,"
1016,"Cat. No. 2,214",Me.152/1,"Locality Bluehill Falls, Me",Site Nevin Shell Heap .,Name Single barbed bone,Situation Grave 10. Burma and pebbles 10cm. below grav
1017,Cat. No. 2215,Me.152/1,"Locality Bluehill Falls, 1",Site Nevin Shell Heap.,Name Spearhead.,"Situation Trench I.3, Section 2E. Turf roots at 30111:?"
1018,Cat. No. 2213,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap .,Nme Broken plummet .,"Situation Trench I.3, Section 73E. Black humus and pebbles."
1019,"| Cat. No. 22],""",Me.152/1,"| Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Broken plummet.,"Situation Trench 1.3, Section 2E. Black humus and pebe«"
1020,I Cat. No. 2215,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Felsite turtleback.,"Situation Trench IA.1, Section 2E. Above plow line."
1021,Cat. No. 2219,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Piece of sawed slate.,"Situation Trench IA.’1, Section 2E. Above plow line."
1022,l Cat.No. 222(,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Piece of am,"SituatiOD Trench IA.1, Section 12E..- 250m. below IA.1,"
1023,Cat. No. 3221,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Broken plummet .,"Situation Trench n.1, Section 2E. 55cm. below IA.1/1E"
1024,Cat. No. 2222,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Arrowpo int .,"Situation Trench n.2, Section 2E. Above plow line."
1025,I Cat. No. 222;,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heaps,m,"Situation Trench IA. 2, Section ”E E. Above plow line."
1026,Cat. No. 2224,Me.152/1,"Locality Bluehill Falls, Lie",Site Nevin Shell Heap.,Name Point of knife.,"Situation Trench IA.2, Section 2E. 32cm. below IA.2/1‘"
1027,Cat. No. 2225,Me.152/1,"Locality Bluehill Falls, 1.!",Site Nevin Shell Heap .,Name Piece of sawed sle,Situation Trench If“?! §ection BE. 350m. below IA.2/11
1028,l Cat.No. 222g,Me.152/1,"MW Bluehill Falls, Me.",Site Nevin Shell Heap .,Name 2 pieces of badly eroé,"3mm Tr_ench _IA:2_,;8ection 2E. Post section, 45cm."
1029,"l Cat.No. 222',",Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Piece of knife.,Situation 'Pregcp I_A.'_.Z~1 gection 2E. 290m. below IA.3/1E
1030,| Cat. No. 222!,Me.152/1,"I Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name 0111p of gouge.,"Situation Trench n.3, Section 2E. 20cm. below IA.3/1E,"
1031,Cat. No. 2229,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap-,Name Plummet .,"Situation Trench IA. 5, Sectipn 2E. Top of shell fleoken"
1032,Cat. No. 2230,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Point of spear.,"Situation Trench IA. 3, Section 2E. Stake section, probably

as,"
1033,Cat. No. 2231,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Crude quartz implemen‘!,"Situation Trench IE, Section 213. Shells above plow line."
1034,I Cat. No. 323;,Me.152/1,"’ Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Tanged arrowpoint .,"Situation Trench IE, Section 23. Shells."
1035,Cat. No. 2233,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Butt of spear head.,"Situation Trench IB, Section 22E. Shells above plow line"
1036,Cat. No. 2234,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Broken adze .,"Situation Trench 18, Section 2E. Shells above plow line"
1037,I Cat. No. 2235,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Broken knife .,"Situation Trench 18, Section 23. Shells below plow line."
1038,Cat. No. 2236,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Gouge .,"Situation Trench IB, Section 2E. Shells below plow line"
1039,I Cat. No. 2231,Me.152/1,"Locality Bluehil'l Falls, Me.",Site Nevin Shell Heap .,Name Broken incised pendant,"Situation Trench IE, Section BE. Shells below plow line."
1040,| Cat. No. 3236,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Point of broken knife.,"Situatim Trench IB, Section 2E. Humus below shell."
1041,Cat. No. 2239,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Point of arIOWpoint.,"Situatim Trench IE, Section 2E. Shell flecked humus belo‘"
1042,Cat. No. 2240,Me.152/1,Locality Bluehill Fall 8,Site Nevin Shell He:,Name Butt of epear I,"Situatim TI_'ench IB Section 2152. Humus, 120m. belo-"
1043,Cat. No. 2241,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nev in Shell Heap.,Name Butt of spear head.',"Situatim Trench IB, Section 2E. Shells below plow line."
1044,Cat. No. 2242,Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap.,Name Broken plummet.,"Situation Trench IB, Section 2E. In humus."
1045,Cat. No. 2243,Me.152/1,"Locality Bluehill Falls, ‘",Site Nevin Shell Heap.,Name Unfinished broke:,"Situation Trench IB,Sec1.:io_n 2E._ Black humus and 1008"
1046,Cat. No. 224,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Butt of knife.,
1047,,Me.152/1,"Site No. Me . 152/1

Locality Blue‘nill Falls, Me.",u-u-c r'rugmgn‘c 01' bayonet 81:,,
1048,| Cat. No. 3246,Me.152/1,"Locality A Bluehill Falls, Me .",Site Nevin Shell Heap.,Name Point of feleite knife,Situation :I'rfznch IB. 1 Section 2E In shells about 90m.
1049,| Cat. No. 2247,Me.152/1,"Locality Bluehill F8118, Me.",Site Nevin Shell Heap.,Name Stone drill.,"Simtim Trench IB.1, Section 8E. Upper shells below"
1050,I Cat. No. 224!,Me.152/1,"Locality Bluehill Falls ,Me .",Site Nevin Shell Heap .,,"Situation Trench IB.1, Section 2E. Shells below plow line."
1051,| Cat. No. 224E,Me.152/1,"Locality Bluehill Falls, Lie.","Site Nevin Sh e11, Heap .",Name Broken plunimet .,"Situation Trench IB.1, Section 2E. Humus just below shell:"
1052,| Cat. No. 235C,Me.152/1,"Locality Bluehill Falls, Lie.",Site NeVin Shell Hepp.,Name Plummet .,"Situatim Trench 18.1, Section 23. 2nd shell layer."
1053,Cat. No. 2251,Me.152/1,"Locality Bluehi'll Falls, Me.",Site Nevin Shell 3200p.,Name Broken slate implement,"Situation Trench IB.1, Section 2E. Humus below 2nd shell"
1054,Cat. No. 2252,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Broken plunnhet .,"Sim?m Trench IB.1, Section 2E. In humus below 2nd"
1055,I Cat. No. 225:,Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap.,Name Plummet .,"Situatim Trench IB.1, Section 2E. Humus."
1056,Cat. No. 2254,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Skinning knife .,"Situation Trench 113.1, Section 2E. Stake section — humus"
1057,Cat. No. 2255,Me.152/1,"Locality Bluehill F8118, Me.","e - — ‘
N 011' U118]. Ilea Jo",Name Tanged arrowpoint .,"Situation Trench IB.2, Section 2E. Shells below plow line"
1058,Cat. No. 2256,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Broken adze .,"Situ??m french I13.” a, Section BE In humus below shells

-_ _ l-—"
1059,Cat. No. 225?,Me.152/1,"Locality Bluehil] Falls, Me.",Site Nevin Shell Heap.,Name Plummet .,"Situatim Trench_ IE. 2 Section 2E. In humus below shells,

__ - l-—"
